14/05/2026 11:18:49
Spectrometer: USB2G38355
Integration time (ms): 22.0
Scans averaged: 30

Wavelength,Absorbance
350.000,NaN
351.000,NaN
352.000,NaN
353.000,NaN
354.000,NaN
355.000,NaN
356.000,NaN
357.000,NaN
358.000,NaN
359.000,NaN
360.000,NaN
361.000,NaN
362.000,NaN
363.000,NaN
364.000,NaN
365.000,NaN
366.000,NaN
367.000,NaN
368.000,NaN
369.000,NaN
370.000,NaN
371.000,NaN
372.000,NaN
373.000,NaN
374.000,NaN
375.000,NaN
376.000,NaN
377.000,NaN
378.000,NaN
379.000,NaN
380.000,NaN
381.000,NaN
382.000,NaN
383.000,NaN
384.000,NaN
385.000,NaN
386.000,NaN
387.000,NaN
388.000,NaN
389.000,NaN
390.000,NaN
391.000,NaN
392.000,NaN
393.000,NaN
394.000,NaN
395.000,NaN
396.000,1.080
397.000,NaN
398.000,NaN
399.000,1.024
400.000,NaN
401.000,0.568
402.000,0.441
403.000,0.407
404.000,0.385
405.000,0.331
406.000,0.319
407.000,0.304
408.000,0.315
409.000,0.188
410.000,0.153
411.000,0.129
412.000,0.109
413.000,0.072
414.000,0.068
415.000,0.052
416.000,0.045
417.000,0.042
418.000,0.036
419.000,0.027
420.000,0.032
421.000,0.023
422.000,0.027
423.000,0.019
424.000,0.021
425.000,0.021
426.000,0.018
427.000,0.017
428.000,0.024
429.000,0.022
430.000,0.019
431.000,0.021
432.000,0.020
433.000,0.022
434.000,0.021
435.000,0.022
436.000,0.025
437.000,0.024
438.000,0.025
439.000,0.027
440.000,0.026
441.000,0.028
442.000,0.030
443.000,0.033
444.000,0.033
445.000,0.035
446.000,0.036
447.000,0.037
448.000,0.039
449.000,0.040
450.000,0.041
451.000,0.043
452.000,0.043
453.000,0.044
454.000,0.044
455.000,0.044
456.000,0.044
457.000,0.044
458.000,0.044
459.000,0.044
460.000,0.046
461.000,0.045
462.000,0.048
463.000,0.050
464.000,0.052
465.000,0.054
466.000,0.058
467.000,0.061
468.000,0.063
469.000,0.065
470.000,0.069
471.000,0.073
472.000,0.075
473.000,0.077
474.000,0.081
475.000,0.086
476.000,0.089
477.000,0.094
478.000,0.096
479.000,0.101
480.000,0.104
481.000,0.111
482.000,0.115
483.000,0.120
484.000,0.126
485.000,0.132
486.000,0.134
487.000,0.141
488.000,0.148
489.000,0.153
490.000,0.158
491.000,0.165
492.000,0.173
493.000,0.179
494.000,0.185
495.000,0.192
496.000,0.197
497.000,0.205
498.000,0.212
499.000,0.220
500.000,0.224
501.000,0.234
502.000,0.238
503.000,0.247
504.000,0.255
505.000,0.262
506.000,0.268
507.000,0.275
508.000,0.286
509.000,0.291
510.000,0.300
511.000,0.308
512.000,0.317
513.000,0.324
514.000,0.335
515.000,0.343
516.000,0.355
517.000,0.366
518.000,0.376
519.000,0.385
520.000,0.397
521.000,0.408
522.000,0.419
523.000,0.430
524.000,0.441
525.000,0.454
526.000,0.468
527.000,0.479
528.000,0.494
529.000,0.506
530.000,0.518
531.000,0.532
532.000,0.546
533.000,0.559
534.000,0.574
535.000,0.587
536.000,0.600
537.000,0.614
538.000,0.629
539.000,0.644
