14/05/2026 11:35:20
Spectrometer: USB2G38355
Integration time (ms): 22.0
Scans averaged: 30

Wavelength,Absorbance
350.000,NaN
351.000,NaN
352.000,NaN
353.000,NaN
354.000,NaN
355.000,NaN
356.000,NaN
357.000,NaN
358.000,NaN
359.000,NaN
360.000,NaN
361.000,NaN
362.000,NaN
363.000,NaN
364.000,NaN
365.000,NaN
366.000,NaN
367.000,NaN
368.000,NaN
369.000,NaN
370.000,NaN
371.000,NaN
372.000,NaN
373.000,NaN
374.000,NaN
375.000,NaN
376.000,NaN
377.000,NaN
378.000,NaN
379.000,NaN
380.000,NaN
381.000,NaN
382.000,NaN
383.000,NaN
384.000,NaN
385.000,NaN
386.000,NaN
387.000,NaN
388.000,NaN
389.000,NaN
390.000,NaN
391.000,NaN
392.000,NaN
393.000,NaN
394.000,NaN
395.000,NaN
396.000,NaN
397.000,NaN
398.000,NaN
399.000,NaN
400.000,NaN
401.000,NaN
402.000,1.015
403.000,0.995
404.000,0.793
405.000,0.823
406.000,0.716
407.000,0.736
408.000,0.642
409.000,0.533
410.000,0.459
411.000,0.434
412.000,0.384
413.000,0.364
414.000,0.352
415.000,0.311
416.000,0.321
417.000,0.312
418.000,0.310
419.000,0.298
420.000,0.308
421.000,0.299
422.000,0.299
423.000,0.296
424.000,0.304
425.000,0.302
426.000,0.305
427.000,0.304
428.000,0.306
429.000,0.307
430.000,0.306
431.000,0.309
432.000,0.310
433.000,0.312
434.000,0.311
435.000,0.314
436.000,0.317
437.000,0.317
438.000,0.318
439.000,0.319
440.000,0.317
441.000,0.318
442.000,0.316
443.000,0.313
444.000,0.312
445.000,0.310
446.000,0.309
447.000,0.308
448.000,0.305
449.000,0.304
450.000,0.301
451.000,0.299
452.000,0.296
453.000,0.292
454.000,0.288
455.000,0.283
456.000,0.280
457.000,0.276
458.000,0.270
459.000,0.267
460.000,0.264
461.000,0.259
462.000,0.254
463.000,0.254
464.000,0.251
465.000,0.246
466.000,0.246
467.000,0.242
468.000,0.240
469.000,0.237
470.000,0.233
471.000,0.232
472.000,0.229
473.000,0.226
474.000,0.222
475.000,0.220
476.000,0.217
477.000,0.213
478.000,0.208
479.000,0.208
480.000,0.205
481.000,0.202
482.000,0.199
483.000,0.200
484.000,0.198
485.000,0.197
486.000,0.192
487.000,0.192
488.000,0.194
489.000,0.191
490.000,0.189
491.000,0.186
492.000,0.185
493.000,0.186
494.000,0.184
495.000,0.185
496.000,0.183
497.000,0.184
498.000,0.184
499.000,0.183
500.000,0.183
501.000,0.185
502.000,0.185
503.000,0.184
504.000,0.185
505.000,0.186
506.000,0.185
507.000,0.186
508.000,0.187
509.000,0.188
510.000,0.188
511.000,0.191
512.000,0.191
513.000,0.192
514.000,0.195
515.000,0.195
516.000,0.199
517.000,0.202
518.000,0.205
519.000,0.206
520.000,0.211
521.000,0.215
522.000,0.218
523.000,0.221
524.000,0.223
525.000,0.227
526.000,0.231
527.000,0.236
528.000,0.243
529.000,0.247
530.000,0.252
531.000,0.256
532.000,0.261
533.000,0.266
534.000,0.272
535.000,0.275
536.000,0.281
537.000,0.288
538.000,0.290
539.000,0.299
